SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
MSFT,2010-10-01,Microsoft Corporation,NASDAQ,24.38
MSFT,2010-10-04,Microsoft Corporation,NASDAQ,23.91
MSFT,2010-10-05,Microsoft Corporation,NASDAQ,24.35
MSFT,2010-10-06,Microsoft Corporation,NASDAQ,24.43
MSFT,2010-10-07,Microsoft Corporation,NASDAQ,24.53
MSFT,2010-10-08,Microsoft Corporation,NASDAQ,24.57
MSFT,2010-10-11,Microsoft Corporation,NASDAQ,24.59
MSFT,2010-10-12,Microsoft Corporation,NASDAQ,24.83
MSFT,2010-10-13,Microsoft Corporation,NASDAQ,25.34
MSFT,2010-10-14,Microsoft Corporation,NASDAQ,25.23
MSFT,2010-10-15,Microsoft Corporation,NASDAQ,25.54
MSFT,2010-10-18,Microsoft Corporation,NASDAQ,25.82
MSFT,2010-10-19,Microsoft Corporation,NASDAQ,25.1
MSFT,2010-10-20,Microsoft Corporation,NASDAQ,25.31
MSFT,2010-10-21,Microsoft Corporation,NASDAQ,25.42
MSFT,2010-10-22,Microsoft Corporation,NASDAQ,25.38
MSFT,2010-10-25,Microsoft Corporation,NASDAQ,25.19
MSFT,2010-10-26,Microsoft Corporation,NASDAQ,25.9
MSFT,2010-10-27,Microsoft Corporation,NASDAQ,26.05
MSFT,2010-10-28,Microsoft Corporation,NASDAQ,26.28
MSFT,2010-10-29,Microsoft Corporation,NASDAQ,26.66
MSFT,2010-11-01,Microsoft Corporation,NASDAQ,26.95
MSFT,2010-11-02,Microsoft Corporation,NASDAQ,27.39
MSFT,2010-11-03,Microsoft Corporation,NASDAQ,27.03
MSFT,2010-11-04,Microsoft Corporation,NASDAQ,27.14
MSFT,2010-11-05,Microsoft Corporation,NASDAQ,26.85
MSFT,2010-11-08,Microsoft Corporation,NASDAQ,26.81
MSFT,2010-11-09,Microsoft Corporation,NASDAQ,26.95
MSFT,2010-11-10,Microsoft Corporation,NASDAQ,26.94
MSFT,2010-11-11,Microsoft Corporation,NASDAQ,26.68
MSFT,2010-11-12,Microsoft Corporation,NASDAQ,26.27
MSFT,2010-11-15,Microsoft Corporation,NASDAQ,26.2
MSFT,2010-11-16,Microsoft Corporation,NASDAQ,25.81
MSFT,2010-11-17,Microsoft Corporation,NASDAQ,25.57
MSFT,2010-11-18,Microsoft Corporation,NASDAQ,25.84
MSFT,2010-11-19,Microsoft Corporation,NASDAQ,25.69
MSFT,2010-11-22,Microsoft Corporation,NASDAQ,25.73
MSFT,2010-11-23,Microsoft Corporation,NASDAQ,25.12
MSFT,2010-11-24,Microsoft Corporation,NASDAQ,25.37
MSFT,2010-11-26,Microsoft Corporation,NASDAQ,25.33
MSFT,2010-11-29,Microsoft Corporation,NASDAQ,25.31
MSFT,2010-11-30,Microsoft Corporation,NASDAQ,25.26
MSFT,2010-12-01,Microsoft Corporation,NASDAQ,26.04
MSFT,2010-12-02,Microsoft Corporation,NASDAQ,26.89
MSFT,2010-12-03,Microsoft Corporation,NASDAQ,27.02
MSFT,2010-12-06,Microsoft Corporation,NASDAQ,26.84
MSFT,2010-12-07,Microsoft Corporation,NASDAQ,26.87
MSFT,2010-12-08,Microsoft Corporation,NASDAQ,27.23
MSFT,2010-12-09,Microsoft Corporation,NASDAQ,27.08
MSFT,2010-12-10,Microsoft Corporation,NASDAQ,27.34
MSFT,2010-12-13,Microsoft Corporation,NASDAQ,27.25
MSFT,2010-12-14,Microsoft Corporation,NASDAQ,27.62
MSFT,2010-12-15,Microsoft Corporation,NASDAQ,27.85
